# Time(us)	Signal
0.000000000000000000e+00	9.974957722468223986e-01
2.040816326530612290e+00	9.160483659474681906e-01
4.081632653061224580e+00	8.167559132306476677e-01
6.122448979591837315e+00	7.993211181929203990e-01
8.163265306122449161e+00	7.301788824678474565e-01
1.020408163265306101e+01	6.364008626236595800e-01
1.224489795918367463e+01	5.939329141905194120e-01
1.428571428571428648e+01	5.834720601879532786e-01
1.632653061224489832e+01	5.392175433975536780e-01
1.836734693877551194e+01	4.452402142854872125e-01
2.040816326530612201e+01	4.533880321881474940e-01
2.244897959183673564e+01	4.241528753260944695e-01
2.448979591836734926e+01	3.832701529348245262e-01
2.653061224489795933e+01	3.573829350522093606e-01
2.857142857142857295e+01	3.304167067089400778e-01
3.061224489795918302e+01	3.333397063026232177e-01
3.265306122448979664e+01	2.518977725485680996e-01
3.469387755102040671e+01	2.352078715434239575e-01
3.673469387755102389e+01	2.058761155761763550e-01
3.877551020408163396e+01	1.837752615557804170e-01
4.081632653061224403e+01	2.364357243783744289e-01
4.285714285714286120e+01	1.756245311691990996e-01
4.489795918367347127e+01	1.533182488713794867e-01
4.693877551020408134e+01	1.476851995822455188e-01
4.897959183673469852e+01	1.397244622026237726e-01
5.102040816326530859e+01	1.321654858896553764e-01
5.306122448979591866e+01	1.088939217192681219e-01
5.510204081632652873e+01	1.321760728985214017e-01
5.714285714285714590e+01	1.155780960031137922e-01
5.918367346938775597e+01	5.025069975239448983e-02
6.122448979591836604e+01	7.214567305082411619e-02
6.326530612244898322e+01	6.951267674032036992e-02
6.530612244897959329e+01	6.640669110431002276e-02
6.734693877551021046e+01	5.337048523767253666e-02
6.938775510204081343e+01	8.490524856441258872e-02
7.142857142857143060e+01	6.747998150182359101e-02
7.346938775510204778e+01	4.517106103503275294e-02
7.551020408163265074e+01	3.106402536394935882e-02
7.755102040816326792e+01	7.743956905436277793e-02
7.959183673469388509e+01	4.159199681300587703e-02
8.163265306122448806e+01	5.755442367928730735e-02
8.367346938775510523e+01	1.141296712956255122e-02
8.571428571428572241e+01	2.041673350585584620e-02
8.775510204081632537e+01	3.262744483931781514e-02
8.979591836734694255e+01	-2.339437554780963990e-03
9.183673469387755972e+01	9.789727599456314253e-03
9.387755102040816269e+01	1.329977527799386904e-02
9.591836734693877986e+01	6.340823188890643350e-03
9.795918367346939704e+01	4.260205781806553765e-02
1.000000000000000000e+02	1.099940279482768644e-02
