# Time(us)	Signal
0.000000000000000000e+00	1.008204567808793417e+00
2.040816326530612290e+00	9.171509549956605722e-01
4.081632653061224580e+00	8.695531317095985813e-01
6.122448979591837315e+00	7.773081805562089830e-01
8.163265306122449161e+00	7.104739703796731920e-01
1.020408163265306101e+01	6.701848745082562564e-01
1.224489795918367463e+01	5.900281357311230046e-01
1.428571428571428648e+01	5.670212623674351082e-01
1.632653061224489832e+01	5.259780191526620685e-01
1.836734693877551194e+01	4.711486769563697496e-01
2.040816326530612201e+01	4.809921687974538229e-01
2.244897959183673564e+01	4.212616440259857042e-01
2.448979591836734926e+01	3.788762271777957324e-01
2.653061224489795933e+01	3.772742006174656382e-01
2.857142857142857295e+01	3.521163610230043095e-01
3.061224489795918302e+01	3.166695268023302923e-01
3.265306122448979664e+01	2.444010284914534259e-01
3.469387755102040671e+01	2.611237359533696289e-01
3.673469387755102389e+01	2.129868025947509458e-01
3.877551020408163396e+01	2.258562091894566748e-01
4.081632653061224403e+01	1.893918485251593342e-01
4.285714285714286120e+01	2.004235961170715563e-01
4.489795918367347127e+01	1.943614822393145425e-01
4.693877551020408134e+01	1.610385760740331018e-01
4.897959183673469852e+01	1.242497569609730124e-01
5.102040816326530859e+01	1.124559221381798146e-01
5.306122448979591866e+01	1.196225547190595956e-01
5.510204081632652873e+01	1.234520746234712557e-01
5.714285714285714590e+01	9.214307346288395928e-02
5.918367346938775597e+01	8.836210151951442993e-02
6.122448979591836604e+01	8.220872412875035451e-02
6.326530612244898322e+01	5.193009215175098392e-02
6.530612244897959329e+01	1.006312816640556468e-01
6.734693877551021046e+01	4.490282286238050230e-02
6.938775510204081343e+01	4.923426062160271566e-02
7.142857142857143060e+01	7.051581603802498099e-02
7.346938775510204778e+01	4.148667312998355339e-02
7.551020408163265074e+01	4.554211846702272554e-02
7.755102040816326792e+01	3.906605774330855485e-02
7.959183673469388509e+01	4.413271255400553345e-02
8.163265306122448806e+01	7.560021200504524197e-02
8.367346938775510523e+01	4.056454515394194993e-02
8.571428571428572241e+01	3.100994667443755792e-03
8.775510204081632537e+01	3.532524039605144245e-02
8.979591836734694255e+01	8.900206663862233331e-03
9.183673469387755972e+01	2.566881082242705378e-02
9.387755102040816269e+01	-3.718987896347451111e-02
9.591836734693877986e+01	3.013119675591523910e-02
9.795918367346939704e+01	-6.642723138036207148e-03
1.000000000000000000e+02	1.204694008374839961e-02
