# Time(us)	Signal
0.000000000000000000e+00	9.844668865762804533e-01
2.040816326530612290e+00	8.850086641555370282e-01
4.081632653061224580e+00	8.777777159533423079e-01
6.122448979591837315e+00	8.155669128675054891e-01
8.163265306122449161e+00	7.430643569409459692e-01
1.020408163265306101e+01	6.616462795059341317e-01
1.224489795918367463e+01	6.454210286209438596e-01
1.428571428571428648e+01	5.419759634065437481e-01
1.632653061224489832e+01	5.408258919422804789e-01
1.836734693877551194e+01	4.818857323986105445e-01
2.040816326530612201e+01	4.057031490630146342e-01
2.244897959183673564e+01	4.191466388487064543e-01
2.448979591836734926e+01	3.825677630384096695e-01
2.653061224489795933e+01	3.486865979734983800e-01
2.857142857142857295e+01	2.932086855240160772e-01
3.061224489795918302e+01	2.733961364698732632e-01
3.265306122448979664e+01	2.576546699266757390e-01
3.469387755102040671e+01	2.663844788345102743e-01
3.673469387755102389e+01	2.347389506352209332e-01
3.877551020408163396e+01	1.940016182395978284e-01
4.081632653061224403e+01	1.688285836465495127e-01
4.285714285714286120e+01	1.697108592861193699e-01
4.489795918367347127e+01	1.507416999011600423e-01
4.693877551020408134e+01	1.790570567987683215e-01
4.897959183673469852e+01	1.077925023270421834e-01
5.102040816326530859e+01	1.070843883364340776e-01
5.306122448979591866e+01	1.208178882771807766e-01
5.510204081632652873e+01	1.088229663720796658e-01
5.714285714285714590e+01	6.786737045223086018e-02
5.918367346938775597e+01	1.003034078643240817e-01
6.122448979591836604e+01	6.749882512856938965e-02
6.326530612244898322e+01	6.221171023808357015e-02
6.530612244897959329e+01	7.106887769427398804e-02
6.734693877551021046e+01	6.776889124238910656e-02
6.938775510204081343e+01	1.041827092855877185e-01
7.142857142857143060e+01	6.814254306375590320e-02
7.346938775510204778e+01	6.813522004004068933e-02
7.551020408163265074e+01	2.477178513740191032e-02
7.755102040816326792e+01	3.029247848915606056e-02
7.959183673469388509e+01	3.406786102079197021e-02
8.163265306122448806e+01	3.031973052529400234e-02
8.367346938775510523e+01	4.554379220145274298e-02
8.571428571428572241e+01	3.599482117443862650e-02
8.775510204081632537e+01	5.182091035031095860e-02
8.979591836734694255e+01	5.473447354540458831e-02
9.183673469387755972e+01	2.888051029980700374e-02
9.387755102040816269e+01	3.352055113614314796e-02
9.591836734693877986e+01	6.055577817066769633e-03
9.795918367346939704e+01	3.188041723817570949e-04
1.000000000000000000e+02	3.502903523476009334e-02
